name,SC_bor_SC_bor_L0063_COIF,SC_bor_SC_bor_L0086_COI,SC_bor_SC_bor_L0117_ANOSCOIF,SC_bor_SC_bor_L0224_COI,SC_bor_SC_bor_L0899_COIF,SC_bor_SC_bor_L1176_COIF,SC_bor_SC_bor_L1177_COIF,SC_dis_SC_dis_B022_COI,SC_dis_SC_dis_B023_COI,SC_dis_SC_dis_B024_COI,SC_dis_SC_dis_B025_COI,SC_dis_SC_dis_B026_COIF,SC_dis_SC_dis_B027_COIF,SC_dis_SC_dis_L236_COI,SC_dis_SC_dis_L237_COI,SC_dis_SC_dis_L239_COIF,SC_dis_SC_dis_L242_COIF,SC_dis_SC_dis_L260_COI,SC_dis_SC_dis_L261_COIF,SC_dis_SC_dis_L262_COI,SC_dis_SC_dis_L263_COI,SC_dis_SC_dis_L264_COI,SC_dis_SC_dis_L265_COIF,SC_fas_SC_fas_B011_COI,SC_fas_SC_fas_L0544_COIF,SC_fas_SC_fas_L0629_COIF,SC_fas_SC_fas_L0650_COIF,SC_fas_SC_fas_L082_COI,SC_fas_SC_fas_L0936_COIF,SC_fas_SC_fas_L0951_COI,SC_fas_SC_fas_L0968_COIF,SC_fas_SC_fas_L259_COIF,SC_fas_SC_fas_L541_COI,SC_fas_SC_fas_L542_COI,SC_fas_SC_fas_L626_COI,SC_fas_SC_fas_L698_COI,SC_fas_SC_fas_L918_COI,SC_int_SC_int_B014_COI,SC_int_SC_int_B015_COI,SC_int_SC_int_L012_COIF,SC_int_SC_int_L0217_COI,SC_int_SC_int_L1201_COIF,SC_int_SC_int_L214_COI,SC_int_SC_int_L219_COIF,SC_int_SC_int_L372_COI,SC_jac_SC_jac_L546_COI,SC_kne_SC_kne_B012_COI,SC_kne_SC_kne_L0857_COIF,SC_kne_SC_kne_L0866_COIF,SC_kne_SC_kne_L270_COIF,SC_kne_SC_kne_L361_COI,SC_kne_SC_kne_L363_COI,SC_kne_SC_kne_L365_COI,SC_nas_SC_nas_B016_COI,SC_nas_SC_nas_B017_COI,SC_nas_SC_nas_B018_COI,SC_nas_SC_nas_B019_COI,SC_nas_SC_nas_L0926_COIF,SC_nas_SC_nas_L1066_COI,SC_nas_SC_nas_L1093_ANOSCOIF,SC_nas_SC_nas_L1099_ANOSCOIF,SC_nas_SC_nas_L1100_ANOSCOIF,SC_nas_SC_nas_L1103_ANOSCOIF,SC_nas_SC_nas_L1111_ANOSCOIF,SC_nas_SC_nas_L1178_FISHF,SC_nas_SC_nas_L1179_COIF,SC_nas_SC_nas_L243_COI,SC_nas_SC_nas_L244_COIF,SC_nas_SC_nas_L245_COIF,SC_nas_SC_nas_L889_COI,SC_pla_SC_pla_B135,SC_pla_SC_pla_B136,SC_pla_SC_pla_B137,SC_pla_SC_pla_B138,SC_pla_SC_pla_B139,SC_sco_SC_sco_B156_COI,SC_sco_SC_sco_B214,SC_sco_SC_sco_L0906_COIF,SC_sco_SC_sco_L905_COI,SC_vit_SC_vit_L0613_COIF,SC_vit_SC_vit_L0750_COIF,SC_vit_SC_vit_L100_COI,SC_vit_SC_vit_L197_COIF,SC_vit_SC_vit_L205_COIF,SC_vit_SC_vit_L206_COIF,SC_vit_SC_vit_L207_COI,SC_vit_SC_vit_L208_COIF,SC_vit_SC_vit_L209_COIF,SC_vit_SC_vit_L380_COI,SC_vit_SC_vit_L558_COI,SC_vit_SC_vit_L733_COIF
SC_bor_SC_bor_L0063_COIF,0.0,0.15968,0.0,0.0,0.0,0.15968,0.48,5.51956,5.51956,5.51956,5.51956,5.53343,5.59449,5.34319,5.69655,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,2.7725,3.27756,2.7725,2.7725,3.10864,3.10864,2.7725,2.7725,2.94029,2.7725,2.7725,2.7725,2.7725,2.7725,1.12621,1.12621,1.12621,1.12621,1.12621,1.12621,1.12621,1.28797,9.47364,8.58023,8.63967,8.81754,8.39366,8.39366,8.39366,8.39366,8.9317,8.74443,8.64686,8.9317,9.11967,8.74443,9.12013,8.75305,9.10452,8.9317,8.74443,8.9317,9.1081,8.9317,8.9317,8.9317,9.11967,8.96689,9.11373,9.82917,9.72558,9.22663,4.64998,4.64998,4.98615,4.81193,2.94029,2.7725,3.61292,3.61292,3.78328,3.78328,3.78328,3.61292,3.61292,3.78328,2.7725,2.7725
SC_bor_SC_bor_L0086_COI,0.15968,0.0,0.15968,0.15968,0.15968,0.0,0.31968,5.35039,5.35039,5.35039,5.35039,5.35357,5.423,5.17434,5.52707,5.17434,5.17434,5.17434,5.17434,5.17434,5.17434,5.17434,5.17434,2.60818,3.11238,2.60818,2.60818,2.94375,2.94375,2.60818,2.60818,2.77568,2.60818,2.60818,2.60818,2.60818,2.60818,0.96485,0.96485,0.96485,0.96485,0.96485,0.96485,0.96485,1.12621,9.48546,8.59208,8.65168,8.83025,8.40516,8.40516,8.40516,8.40516,8.94336,8.56883,8.46973,8.94336,8.94336,8.75574,9.1323,8.76453,9.11696,8.75574,8.75574,8.75574,9.11967,8.94336,8.94336,8.94336,8.94336,8.97803,9.12513,9.8447,9.73807,9.2382,4.47552,4.47552,4.8178,4.64388,2.77568,2.60818,3.44705,3.44705,3.61712,3.61712,3.61712,3.44705,3.44705,3.61712,2.60818,2.60818
SC_bor_SC_bor_L0117_ANOSCOIF,0.0,0.15968,0.0,0.0,0.0,0.15968,0.48,5.51956,5.51956,5.51956,5.51956,5.53343,5.59449,5.34319,5.69655,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,2.7725,3.27756,2.7725,2.7725,3.10864,3.10864,2.7725,2.7725,2.94029,2.7725,2.7725,2.7725,2.7725,2.7725,1.12621,1.12621,1.12621,1.12621,1.12621,1.12621,1.12621,1.28797,9.47364,8.58023,8.63967,8.81754,8.39366,8.39366,8.39366,8.39366,8.9317,8.74443,8.64686,8.9317,9.11967,8.74443,9.12013,8.75305,9.10452,8.9317,8.74443,8.9317,9.1081,8.9317,8.9317,8.9317,9.11967,8.96689,9.11373,9.82917,9.72558,9.22663,4.64998,4.64998,4.98615,4.81193,2.94029,2.7725,3.61292,3.61292,3.78328,3.78328,3.78328,3.61292,3.61292,3.78328,2.7725,2.7725
SC_bor_SC_bor_L0224_COI,0.0,0.15968,0.0,0.0,0.0,0.15968,0.48,5.51956,5.51956,5.51956,5.51956,5.53343,5.59449,5.34319,5.69655,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,2.7725,3.27756,2.7725,2.7725,3.10864,3.10864,2.7725,2.7725,2.94029,2.7725,2.7725,2.7725,2.7725,2.7725,1.12621,1.12621,1.12621,1.12621,1.12621,1.12621,1.12621,1.28797,9.47364,8.58023,8.63967,8.81754,8.39366,8.39366,8.39366,8.39366,8.9317,8.74443,8.64686,8.9317,9.11967,8.74443,9.12013,8.75305,9.10452,8.9317,8.74443,8.9317,9.1081,8.9317,8.9317,8.9317,9.11967,8.96689,9.11373,9.82917,9.72558,9.22663,4.64998,4.64998,4.98615,4.81193,2.94029,2.7725,3.61292,3.61292,3.78328,3.78328,3.78328,3.61292,3.61292,3.78328,2.7725,2.7725
SC_bor_SC_bor_L0899_COIF,0.0,0.15968,0.0,0.0,0.0,0.15968,0.48,5.51956,5.51956,5.51956,5.51956,5.53343,5.59449,5.34319,5.69655,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,5.34319,2.7725,3.27756,2.7725,2.7725,3.10864,3.10864,2.7725,2.7725,2.94029,2.7725,2.7725,2.7725,2.7725,2.7725,1.12621,1.12621,1.12621,1.12621,1.12621,1.12621,1.12621,1.28797,9.47364,8.58023,8.63967,8.81754,8.39366,8.39366,8.39366,8.39366,8.9317,8.74443,8.64686,8.9317,9.11967,8.74443,9.12013,8.75305,9.10452,8.9317,8.74443,8.9317,9.1081,8.9317,8.9317,8.9317,9.11967,8.96689,9.11373,9.82917,9.72558,9.22663,4.64998,4.64998,4.98615,4.81193,2.94029,2.7725,3.61292,3.61292,3.78328,3.78328,3.78328,3.61292,3.61292,3.78328,2.7725,2.7725
SC_bor_SC_bor_L1176_COIF,0.15968,0.0,0.15968,0.15968,0.15968,0.0,0.31968,5.35039,5.35039,5.35039,5.35039,5.35357,5.423,5.17434,5.52707,5.17434,5.17434,5.17434,5.17434,5.17434,5.17434,5.17434,5.17434,2.60818,3.11238,2.60818,2.60818,2.94375,2.94375,2.60818,2.60818,2.77568,2.60818,2.60818,2.60818,2.60818,2.60818,0.96485,0.96485,0.96485,0.96485,0.96485,0.96485,0.96485,1.12621,9.48546,8.59208,8.65168,8.83025,8.40516,8.40516,8.40516,8.40516,8.94336,8.56883,8.46973,8.94336,8.94336,8.75574,9.1323,8.76453,9.11696,8.75574,8.75574,8.75574,9.11967,8.94336,8.94336,8.94336,8.94336,8.97803,9.12513,9.8447,9.73807,9.2382,4.47552,4.47552,4.8178,4.64388,2.77568,2.60818,3.44705,3.44705,3.61712,3.61712,3.61712,3.44705,3.44705,3.61712,2.60818,2.60818
SC_bor_SC_bor_L1177_COIF,0.48,0.31968,0.48,0.48,0.48,0.31968,0.0,5.34319,5.34319,5.34319,5.34319,5.34511,5.4156,5.16745,5.51956,5.16745,5.16745,5.16745,5.16745,5.16745,5.16745,5.16745,5.16745,2.60528,2.94029,2.60528,2.60528,2.94029,2.94029,2.60528,2.60528,2.7725,2.60528,2.60528,2.60528,2.60528,2.60528,0.96388,0.96388,0.96388,0.96388,0.96388,0.96388,0.96388,1.12537,9.66303,8.39366,8.4517,8.62146,8.20779,8.20779,8.20779,8.20779,8.74443,8.37199,8.27162,8.74443,8.74443,8.55787,8.92856,8.56258,8.90571,8.55787,8.55787,8.55787,8.92049,8.74443,8.74443,8.74443,8.74443,9.16297,9.30943,10.05542,9.92052,9.42119,4.47013,4.47013,4.81193,4.63832,2.7725,2.60528,3.44314,3.44314,3.61292,3.61292,3.61292,3.44314,3.44314,3.61292,2.94029,2.60528
SC_dis_SC_dis_B022_COI,5.51956,5.35039,5.51956,5.51956,5.51956,5.35039,5.34319,0.0,0.0,0.0,0.0,0.0,0.0,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,5.18164,5.71262,5.18164,5.18164,5.535,5.535,5.18164,5.18164,5.35801,5.18164,5.18164,5.18164,5.18164,5.18164,5.69655,5.69655,5.69655,5.69655,5.69655,5.69655,5.69655,5.86645,12.41028,10.08409,10.15494,10.02553,9.89215,9.89215,9.89215,9.89215,10.27677,9.51047,9.41852,10.27677,9.89215,10.4702,10.31458,10.1212,10.32914,9.70095,10.4702,9.70095,10.26258,10.27677,10.27677,10.27677,9.89215,11.80136,11.94277,12.61411,12.77005,12.45216,5.56647,5.56647,5.69655,5.51956,5.35801,5.18164,6.06089,6.06089,5.88231,6.2401,5.88231,6.06089,6.06089,6.2401,5.535,5.18164
SC_dis_SC_dis_B023_COI,5.51956,5.35039,5.51956,5.51956,5.51956,5.35039,5.34319,0.0,0.0,0.0,0.0,0.0,0.0,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,5.18164,5.71262,5.18164,5.18164,5.535,5.535,5.18164,5.18164,5.35801,5.18164,5.18164,5.18164,5.18164,5.18164,5.69655,5.69655,5.69655,5.69655,5.69655,5.69655,5.69655,5.86645,12.41028,10.08409,10.15494,10.02553,9.89215,9.89215,9.89215,9.89215,10.27677,9.51047,9.41852,10.27677,9.89215,10.4702,10.31458,10.1212,10.32914,9.70095,10.4702,9.70095,10.26258,10.27677,10.27677,10.27677,9.89215,11.80136,11.94277,12.61411,12.77005,12.45216,5.56647,5.56647,5.69655,5.51956,5.35801,5.18164,6.06089,6.06089,5.88231,6.2401,5.88231,6.06089,6.06089,6.2401,5.535,5.18164
SC_dis_SC_dis_B024_COI,5.51956,5.35039,5.51956,5.51956,5.51956,5.35039,5.34319,0.0,0.0,0.0,0.0,0.0,0.0,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,0.80388,5.18164,5.71262,5.18164,5.18164,5.535,5.535,5.18164,5.18164,5.35801,5.18164,5.18164,5.18164,5.18164,5.18164,5.69655,5.69655,5.69655,5.69655,5.69655,5.69655,5.69655,5.86645,12.41028,10.08409,10.15494,10.02553,9.89215,9.89215,9.89215,9.89215,10.27677,9.51047,9.41852,10.27677,9.89215,10.4702,10.31458,10.1212,10.32914,9.70095,10.4702,9.70095,10.26258,10.27677,10.27677,10.27677,9.89215,11.80136,11.94277,12.61411,12.77005,12.45216,5.56647,5.56647,5.69655,5.51956,5.35801,5.18164,6.06089,6.06089,5.88231,6.2401,5.88231,6.06089,6.06089,6.2401,5.535,5.18164
