 N  Diagnostic  Diag. or Partial  Partial  Part. or Uninformative  Invalid
 8           0                 0        1                       1        0
 6           0                 0        2                       0        0
10           0                 0        1                       1        0
34           0                 0        0                       0        0
 4           4                 0        0                       2        0
 7           2                 1        2                       1        0
14           1                 1        1                       0        0
 8           3                 1        1                       0        0
 6           0                 0        0                       0        0
10           0                 1        0                       0        0
 7           0                 0        0                       0        0
