name,MOTU_1_LS_muy_L913,MOTU_1_LS_muy_L914,MOTU_1_LS_muy_L915,MOTU_2_LS_afmuy_L907,MOTU_3_LS_brn_L930,MOTU_3_LS_brn_L931,MOTU_3_LS_brn_L932,MOTU_4_LS_gar_L293,MOTU_4_LS_gar_L294,MOTU_4_LS_gar_L295,MOTU_4_LS_gar_L296,MOTU_4_LS_gar_L298,MOTU_5_LS_aftri_L179,MOTU_5_LS_aftri_L180,MOTU_5_LS_aftri_L182,MOTU_6_LS_afcon_L286,MOTU_6_LS_afcon_L291,MOTU_6_LS_afcon_L292,MOTU_6_LS_afcon_L820,MOTU_7_LS_con_L210,MOTU_7_LS_con_L211,MOTU_8_LS_tri_L519,MOTU_8_LS_tri_L618,MOTU_8_LS_tri_L621,MOTU_8_LS_tri_L690,MOTU_8_LS_tri_L955,MOTU_9_LS_obt_B074,MOTU_9_LS_obt_B075,MOTU_9_LS_obt_B077,MOTU_9_LS_obt_B100,MOTU_9_LS_obt_B101,MOTU_9_LS_obt_B102,MOTU_9_LS_obt_B103,MOTU_9_LS_obt_L004,MOTU_9_LS_obt_L007,MOTU_9_LS_obt_L008,MOTU_9_LS_obt_L009,MOTU_9_LS_obt_L013,MOTU_9_LS_obt_L016,MOTU_9_LS_obt_L282,MOTU_9_LS_obt_L283,MOTU_9_LS_obt_L547,MOTU_9_LS_obt_L548,MOTU_10_LS_elo_L1041,MOTU_10_LS_elo_L1046,MOTU_10_LS_elo_L1047,MOTU_10_LS_elo_L287,MOTU_10_LS_elo_L300,MOTU_10_LS_elo_L305,MOTU_10_LS_elo_L307,MOTU_10_LS_elo_L308,MOTU_10_LS_elo_L309,MOTU_11_LS_sp08_B031,MOTU_11_LS_sp08_B070,MOTU_11_LS_sp08_B071,MOTU_11_LS_sp08_B090,MOTU_11_LS_sp08_L253,MOTU_11_LS_sp08_L266,MOTU_11_LS_sp08_L267,MOTU_11_LS_sp08_L268,MOTU_11_LS_sp08_L269,MOTU_11_LS_sp08_L314,MOTU_11_LS_sp08_L315,MOTU_11_LS_sp08_L316,MOTU_11_LS_sp08_L320,MOTU_12_LS_sil_L084,MOTU_13_LS_macR_B061,MOTU_13_LS_macR_B086,MOTU_13_LS_macR_B087,MOTU_13_LS_macR_B088,MOTU_13_LS_macR_B089,MOTU_14_LS_mac_B082,MOTU_14_LS_mac_L083,MOTU_14_LS_mac_L085,MOTU_14_LS_mac_L178,MOTU_14_LS_mac_L212,MOTU_14_LS_mac_L225,MOTU_14_LS_mac_L290,MOTU_14_LS_mac_L890,MOTU_14_LS_mac_L891,MOTU_15_LS_afrei_L773,MOTU_15_LS_afrei_L777,MOTU_15_LS_afrei_L778,MOTU_15_LS_afrei_L779,MOTU_16_LS_rei_B072,MOTU_16_LS_rei_B073,MOTU_16_LS_rei_L338,MOTU_16_LS_rei_L339,MOTU_16_LS_rei_L341,MOTU_16_LS_rei_L342,MOTU_16_LS_rei_L343,MOTU_16_LS_rei_L353,MOTU_16_LS_rei_L355,MOTU_17_LS_piv2_B140,MOTU_17_LS_piv2_B141,MOTU_17_LS_piv2_B142,MOTU_17_LS_piv2_B144,MOTU_18_LS_piv_B060,MOTU_18_LS_piv_B076,MOTU_18_LS_piv_B078,MOTU_18_LS_piv_B093,MOTU_18_LS_piv_B094,MOTU_18_LS_piv_B095,MOTU_18_LS_piv_B096,MOTU_18_LS_piv_B097,MOTU_18_LS_piv_B098,MOTU_18_LS_piv_B099,MOTU_18_LS_piv_L002,MOTU_18_LS_piv_L003,MOTU_18_LS_piv_L005,MOTU_18_LS_piv_L006,MOTU_18_LS_piv_L010,MOTU_18_LS_piv_L011,MOTU_18_LS_piv_L014,MOTU_18_LS_piv_L284,MOTU_18_LS_piv_L371
MOTU_1_LS_muy_L913,0.0,0.0,0.0,15.31183,11.92137,11.92137,11.92137,13.38591,13.38591,13.38591,13.38591,13.38591,14.59583,14.59583,14.59583,12.78825,12.78825,12.78825,12.78825,11.95316,11.95316,13.81235,13.81235,13.81235,13.81235,13.81235,14.04702,14.04702,14.04702,14.24246,14.43844,14.43844,14.43844,14.04702,14.04702,14.263,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.263,14.04702,14.04702,14.04702,14.04702,14.04702,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,13.85212,15.11394,15.11394,15.11394,15.11394,15.11394,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,12.16063,12.16063,12.16063,12.16063,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,13.61783,13.61783,13.61783,13.61783,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.58005,13.58005,13.58005,13.58005,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591
MOTU_1_LS_muy_L914,0.0,0.0,0.0,15.31183,11.92137,11.92137,11.92137,13.38591,13.38591,13.38591,13.38591,13.38591,14.59583,14.59583,14.59583,12.78825,12.78825,12.78825,12.78825,11.95316,11.95316,13.81235,13.81235,13.81235,13.81235,13.81235,14.04702,14.04702,14.04702,14.24246,14.43844,14.43844,14.43844,14.04702,14.04702,14.263,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.263,14.04702,14.04702,14.04702,14.04702,14.04702,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,13.85212,15.11394,15.11394,15.11394,15.11394,15.11394,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,12.16063,12.16063,12.16063,12.16063,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,13.61783,13.61783,13.61783,13.61783,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.58005,13.58005,13.58005,13.58005,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591
MOTU_1_LS_muy_L915,0.0,0.0,0.0,15.31183,11.92137,11.92137,11.92137,13.38591,13.38591,13.38591,13.38591,13.38591,14.59583,14.59583,14.59583,12.78825,12.78825,12.78825,12.78825,11.95316,11.95316,13.81235,13.81235,13.81235,13.81235,13.81235,14.04702,14.04702,14.04702,14.24246,14.43844,14.43844,14.43844,14.04702,14.04702,14.263,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.04702,14.263,14.04702,14.04702,14.04702,14.04702,14.04702,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,14.06764,13.85212,15.11394,15.11394,15.11394,15.11394,15.11394,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,15.15938,12.16063,12.16063,12.16063,12.16063,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,11.74654,13.61783,13.61783,13.61783,13.61783,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.58005,13.58005,13.58005,13.58005,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591,13.38591
MOTU_2_LS_afmuy_L907,15.31183,15.31183,15.31183,0.0,13.67851,13.67851,13.67851,13.46391,13.46391,13.46391,13.46391,13.46391,8.05832,8.05832,8.05832,10.8186,10.8186,10.8186,10.8186,11.02352,11.02352,7.47916,7.47916,7.47916,7.47916,7.47916,13.05739,13.05739,13.05739,13.25024,13.44362,13.44362,13.2304,13.05739,13.05739,13.27061,13.05739,13.05739,13.05739,13.05739,13.05739,13.05739,13.05739,12.21348,12.21348,12.21348,12.42313,12.21348,12.21348,12.21348,12.21348,12.21348,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,13.67851,9.77766,9.77766,9.77766,9.77766,9.77766,8.05832,8.05832,8.05832,8.05832,8.05832,8.05832,8.05832,8.05832,8.05832,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,13.2304,13.01808,13.01808,13.01808,12.61464,12.61464,12.61464,12.61464,12.61464,12.61464,12.80667,12.80667,12.80667,12.80667,12.61464,12.61464,12.61464,12.61464,12.61464,12.61464,12.61464,12.61464,12.61464
MOTU_3_LS_brn_L930,11.92137,11.92137,11.92137,13.67851,0.0,0.0,0.0,8.46152,8.46152,8.46152,8.46152,8.46152,15.09205,15.09205,15.09205,9.02472,9.02472,9.02472,9.02472,8.24039,8.24039,14.47992,14.47992,14.47992,14.47992,14.47992,7.50255,7.50255,7.50255,7.6833,7.67147,7.86452,7.86452,7.50255,7.50255,7.6956,7.50255,7.50255,7.50255,7.50255,7.50255,7.50255,7.50255,8.08395,8.08395,8.08395,8.27926,8.08395,8.08395,8.08395,8.08395,8.08395,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,9.85326,13.15632,13.15632,13.15632,13.15632,13.15632,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,8.82748,8.82748,8.82748,8.82748,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.43636,9.23715,9.23715,9.23715,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,9.03874,9.03874,9.03874,9.03874,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522
MOTU_3_LS_brn_L931,11.92137,11.92137,11.92137,13.67851,0.0,0.0,0.0,8.46152,8.46152,8.46152,8.46152,8.46152,15.09205,15.09205,15.09205,9.02472,9.02472,9.02472,9.02472,8.24039,8.24039,14.47992,14.47992,14.47992,14.47992,14.47992,7.50255,7.50255,7.50255,7.6833,7.67147,7.86452,7.86452,7.50255,7.50255,7.6956,7.50255,7.50255,7.50255,7.50255,7.50255,7.50255,7.50255,8.08395,8.08395,8.08395,8.27926,8.08395,8.08395,8.08395,8.08395,8.08395,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,9.85326,13.15632,13.15632,13.15632,13.15632,13.15632,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,8.82748,8.82748,8.82748,8.82748,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.43636,9.23715,9.23715,9.23715,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,9.03874,9.03874,9.03874,9.03874,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522
MOTU_3_LS_brn_L932,11.92137,11.92137,11.92137,13.67851,0.0,0.0,0.0,8.46152,8.46152,8.46152,8.46152,8.46152,15.09205,15.09205,15.09205,9.02472,9.02472,9.02472,9.02472,8.24039,8.24039,14.47992,14.47992,14.47992,14.47992,14.47992,7.50255,7.50255,7.50255,7.6833,7.67147,7.86452,7.86452,7.50255,7.50255,7.6956,7.50255,7.50255,7.50255,7.50255,7.50255,7.50255,7.50255,8.08395,8.08395,8.08395,8.27926,8.08395,8.08395,8.08395,8.08395,8.08395,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,7.90254,9.85326,13.15632,13.15632,13.15632,13.15632,13.15632,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,13.44362,8.82748,8.82748,8.82748,8.82748,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.22274,9.43636,9.23715,9.23715,9.23715,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,9.03874,9.03874,9.03874,9.03874,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522,8.85522
MOTU_4_LS_gar_L293,13.38591,13.38591,13.38591,13.46391,8.46152,8.46152,8.46152,0.0,0.0,0.0,0.0,0.0,15.09205,15.09205,15.09205,8.63101,8.63101,8.63101,8.63101,8.24039,8.24039,13.1923,13.1923,13.1923,13.1923,13.1923,7.8894,7.8894,7.8894,8.07089,8.25287,8.25287,8.25287,7.8894,7.8894,8.08395,7.8894,7.8894,7.8894,7.8894,7.8894,7.8894,7.8894,8.47534,8.47534,8.47534,8.67219,8.47534,8.47534,8.47534,8.47534,8.47534,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,10.25812,12.73615,12.73615,12.73615,12.73615,12.73615,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,8.64426,8.44818,8.44818,8.44818,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.86452,7.86452,7.86452,7.86452,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833
MOTU_4_LS_gar_L294,13.38591,13.38591,13.38591,13.46391,8.46152,8.46152,8.46152,0.0,0.0,0.0,0.0,0.0,15.09205,15.09205,15.09205,8.63101,8.63101,8.63101,8.63101,8.24039,8.24039,13.1923,13.1923,13.1923,13.1923,13.1923,7.8894,7.8894,7.8894,8.07089,8.25287,8.25287,8.25287,7.8894,7.8894,8.08395,7.8894,7.8894,7.8894,7.8894,7.8894,7.8894,7.8894,8.47534,8.47534,8.47534,8.67219,8.47534,8.47534,8.47534,8.47534,8.47534,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,10.25812,12.73615,12.73615,12.73615,12.73615,12.73615,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,8.64426,8.44818,8.44818,8.44818,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.86452,7.86452,7.86452,7.86452,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833
MOTU_4_LS_gar_L295,13.38591,13.38591,13.38591,13.46391,8.46152,8.46152,8.46152,0.0,0.0,0.0,0.0,0.0,15.09205,15.09205,15.09205,8.63101,8.63101,8.63101,8.63101,8.24039,8.24039,13.1923,13.1923,13.1923,13.1923,13.1923,7.8894,7.8894,7.8894,8.07089,8.25287,8.25287,8.25287,7.8894,7.8894,8.08395,7.8894,7.8894,7.8894,7.8894,7.8894,7.8894,7.8894,8.47534,8.47534,8.47534,8.67219,8.47534,8.47534,8.47534,8.47534,8.47534,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,8.09748,10.25812,12.73615,12.73615,12.73615,12.73615,12.73615,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,13.2304,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,9.02472,8.64426,8.44818,8.44818,8.44818,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.86452,7.86452,7.86452,7.86452,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833,7.6833
