name,MOTU_1_LS_afcon_L286,MOTU_1_LS_afcon_L291,MOTU_1_LS_afcon_L292,MOTU_1_LS_afcon_L820,MOTU_2_LS_afmuy_L907,MOTU_3_LS_afrei_L773,MOTU_3_LS_afrei_L777,MOTU_3_LS_afrei_L778,MOTU_3_LS_afrei_L779,MOTU_4_LS_aftri_L179,MOTU_4_LS_aftri_L180,MOTU_4_LS_aftri_L182,MOTU_5_LS_brn_L930,MOTU_5_LS_brn_L931,MOTU_5_LS_brn_L932,MOTU_6_LS_con_L210,MOTU_6_LS_con_L211,MOTU_7_LS_elo_L1041,MOTU_7_LS_elo_L1046,MOTU_7_LS_elo_L1047,MOTU_7_LS_elo_L287,MOTU_7_LS_elo_L300,MOTU_7_LS_elo_L305,MOTU_7_LS_elo_L307,MOTU_7_LS_elo_L308,MOTU_7_LS_elo_L309,MOTU_8_LS_gar_L293,MOTU_8_LS_gar_L294,MOTU_8_LS_gar_L295,MOTU_8_LS_gar_L296,MOTU_8_LS_gar_L298,MOTU_9_LS_macR_B061,MOTU_9_LS_macR_B086,MOTU_9_LS_macR_B087,MOTU_9_LS_macR_B088,MOTU_9_LS_macR_B089,MOTU_10_LS_mac_B082,MOTU_10_LS_mac_L083,MOTU_10_LS_mac_L085,MOTU_10_LS_mac_L178,MOTU_10_LS_mac_L212,MOTU_10_LS_mac_L225,MOTU_10_LS_mac_L290,MOTU_10_LS_mac_L890,MOTU_10_LS_mac_L891,MOTU_11_LS_muy_L913,MOTU_11_LS_muy_L914,MOTU_11_LS_muy_L915,MOTU_12_LS_obt_B074,MOTU_12_LS_obt_B075,MOTU_12_LS_obt_B077,MOTU_12_LS_obt_B100,MOTU_12_LS_obt_B101,MOTU_12_LS_obt_B102,MOTU_12_LS_obt_B103,MOTU_12_LS_obt_L004,MOTU_12_LS_obt_L007,MOTU_12_LS_obt_L008,MOTU_12_LS_obt_L009,MOTU_12_LS_obt_L013,MOTU_12_LS_obt_L016,MOTU_12_LS_obt_L282,MOTU_12_LS_obt_L283,MOTU_12_LS_obt_L547,MOTU_12_LS_obt_L548,MOTU_13_LS_piv2_B140,MOTU_13_LS_piv2_B141,MOTU_13_LS_piv2_B142,MOTU_13_LS_piv2_B144,MOTU_14_LS_piv_B060,MOTU_14_LS_piv_B076,MOTU_14_LS_piv_B078,MOTU_14_LS_piv_B093,MOTU_14_LS_piv_B094,MOTU_14_LS_piv_B095,MOTU_14_LS_piv_B096,MOTU_14_LS_piv_B097,MOTU_14_LS_piv_B098,MOTU_14_LS_piv_B099,MOTU_14_LS_piv_L002,MOTU_14_LS_piv_L003,MOTU_14_LS_piv_L005,MOTU_14_LS_piv_L006,MOTU_14_LS_piv_L010,MOTU_14_LS_piv_L011,MOTU_14_LS_piv_L014,MOTU_14_LS_piv_L284,MOTU_14_LS_piv_L371,MOTU_15_LS_rei_B072,MOTU_15_LS_rei_B073,MOTU_15_LS_rei_L338,MOTU_15_LS_rei_L339,MOTU_15_LS_rei_L341,MOTU_15_LS_rei_L342,MOTU_15_LS_rei_L343,MOTU_15_LS_rei_L353,MOTU_15_LS_rei_L355,MOTU_16_LS_sil_L084,MOTU_17_LS_sp08_B031,MOTU_17_LS_sp08_B070,MOTU_17_LS_sp08_B071,MOTU_17_LS_sp08_B090,MOTU_17_LS_sp08_L253,MOTU_17_LS_sp08_L266,MOTU_17_LS_sp08_L267,MOTU_17_LS_sp08_L268,MOTU_17_LS_sp08_L269,MOTU_17_LS_sp08_L314,MOTU_17_LS_sp08_L315,MOTU_17_LS_sp08_L316,MOTU_17_LS_sp08_L320,MOTU_18_LS_tri_L519,MOTU_18_LS_tri_L618,MOTU_18_LS_tri_L621,MOTU_18_LS_tri_L690,MOTU_18_LS_tri_L955
MOTU_1_LS_afcon_L286,0.0,0.0,0.0,0.0,10.8186,6.14484,6.14484,6.14484,6.14484,11.76279,11.76279,11.76279,9.02472,9.02472,9.02472,3.98825,3.98825,7.67147,7.67147,7.67147,7.86452,7.67147,7.67147,7.67147,7.67147,7.67147,8.63101,8.63101,8.63101,8.63101,8.63101,9.93703,9.93703,9.93703,9.93703,9.93703,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,12.78825,12.78825,12.78825,7.09675,7.09675,7.09675,7.27697,7.45766,7.45766,7.26682,7.09675,7.09675,7.28759,7.09675,7.09675,7.09675,7.09675,7.09675,7.09675,7.09675,7.64923,7.84154,7.84154,7.84154,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.84154,7.84154,7.84154,7.84154,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,9.02472,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,10.36523,10.36523,10.36523,10.36523,10.36523
MOTU_1_LS_afcon_L291,0.0,0.0,0.0,0.0,10.8186,6.14484,6.14484,6.14484,6.14484,11.76279,11.76279,11.76279,9.02472,9.02472,9.02472,3.98825,3.98825,7.67147,7.67147,7.67147,7.86452,7.67147,7.67147,7.67147,7.67147,7.67147,8.63101,8.63101,8.63101,8.63101,8.63101,9.93703,9.93703,9.93703,9.93703,9.93703,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,12.78825,12.78825,12.78825,7.09675,7.09675,7.09675,7.27697,7.45766,7.45766,7.26682,7.09675,7.09675,7.28759,7.09675,7.09675,7.09675,7.09675,7.09675,7.09675,7.09675,7.64923,7.84154,7.84154,7.84154,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.84154,7.84154,7.84154,7.84154,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,9.02472,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,10.36523,10.36523,10.36523,10.36523,10.36523
MOTU_1_LS_afcon_L292,0.0,0.0,0.0,0.0,10.8186,6.14484,6.14484,6.14484,6.14484,11.76279,11.76279,11.76279,9.02472,9.02472,9.02472,3.98825,3.98825,7.67147,7.67147,7.67147,7.86452,7.67147,7.67147,7.67147,7.67147,7.67147,8.63101,8.63101,8.63101,8.63101,8.63101,9.93703,9.93703,9.93703,9.93703,9.93703,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,12.78825,12.78825,12.78825,7.09675,7.09675,7.09675,7.27697,7.45766,7.45766,7.26682,7.09675,7.09675,7.28759,7.09675,7.09675,7.09675,7.09675,7.09675,7.09675,7.09675,7.64923,7.84154,7.84154,7.84154,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.84154,7.84154,7.84154,7.84154,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,9.02472,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,10.36523,10.36523,10.36523,10.36523,10.36523
MOTU_1_LS_afcon_L820,0.0,0.0,0.0,0.0,10.8186,6.14484,6.14484,6.14484,6.14484,11.76279,11.76279,11.76279,9.02472,9.02472,9.02472,3.98825,3.98825,7.67147,7.67147,7.67147,7.86452,7.67147,7.67147,7.67147,7.67147,7.67147,8.63101,8.63101,8.63101,8.63101,8.63101,9.93703,9.93703,9.93703,9.93703,9.93703,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,10.1934,12.78825,12.78825,12.78825,7.09675,7.09675,7.09675,7.27697,7.45766,7.45766,7.26682,7.09675,7.09675,7.28759,7.09675,7.09675,7.09675,7.09675,7.09675,7.09675,7.09675,7.64923,7.84154,7.84154,7.84154,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.84154,7.84154,7.84154,7.84154,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,7.66011,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,6.14484,9.02472,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,6.72724,10.36523,10.36523,10.36523,10.36523,10.36523
MOTU_2_LS_afmuy_L907,10.8186,10.8186,10.8186,10.8186,0.0,9.38004,9.38004,9.38004,9.38004,8.05832,8.05832,8.05832,13.67851,13.67851,13.67851,11.02352,11.02352,12.21348,12.21348,12.21348,12.42313,12.21348,12.21348,12.21348,12.21348,12.21348,13.46391,13.46391,13.46391,13.46391,13.46391,9.77766,9.77766,9.77766,9.77766,9.77766,8.05832,8.05832,8.05832,8.05832,8.05832,8.05832,8.05832,8.05832,8.05832,15.31183,15.31183,15.31183,13.05739,13.05739,13.05739,13.25024,13.44362,13.44362,13.2304,13.05739,13.05739,13.27061,13.05739,13.05739,13.05739,13.05739,13.05739,13.05739,13.05739,13.2304,13.01808,13.01808,13.01808,12.61464,12.61464,12.61464,12.61464,12.61464,12.61464,12.80667,12.80667,12.80667,12.80667,12.61464,12.61464,12.61464,12.61464,12.61464,12.61464,12.61464,12.61464,12.61464,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,9.38004,13.67851,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,12.23214,7.47916,7.47916,7.47916,7.47916,7.47916
MOTU_3_LS_afrei_L773,6.14484,6.14484,6.14484,6.14484,9.38004,0.0,0.0,0.0,0.0,11.52548,11.52548,11.52548,8.82748,8.82748,8.82748,6.51938,6.51938,7.28759,7.28759,7.28759,7.47916,7.28759,7.28759,7.28759,7.28759,7.28759,9.02472,9.02472,9.02472,9.02472,9.02472,9.91244,9.91244,9.91244,9.91244,9.91244,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,12.16063,12.16063,12.16063,7.67147,7.67147,7.67147,7.85279,8.03459,8.03459,7.84154,7.67147,7.67147,7.86452,7.67147,7.67147,7.67147,7.67147,7.67147,7.67147,7.67147,9.20881,9.40722,9.40722,9.40722,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.81433,8.81433,8.81433,8.81433,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,9.25205,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,9.73822,9.73822,9.73822,9.73822,9.73822
MOTU_3_LS_afrei_L777,6.14484,6.14484,6.14484,6.14484,9.38004,0.0,0.0,0.0,0.0,11.52548,11.52548,11.52548,8.82748,8.82748,8.82748,6.51938,6.51938,7.28759,7.28759,7.28759,7.47916,7.28759,7.28759,7.28759,7.28759,7.28759,9.02472,9.02472,9.02472,9.02472,9.02472,9.91244,9.91244,9.91244,9.91244,9.91244,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,12.16063,12.16063,12.16063,7.67147,7.67147,7.67147,7.85279,8.03459,8.03459,7.84154,7.67147,7.67147,7.86452,7.67147,7.67147,7.67147,7.67147,7.67147,7.67147,7.67147,9.20881,9.40722,9.40722,9.40722,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.81433,8.81433,8.81433,8.81433,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,9.25205,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,9.73822,9.73822,9.73822,9.73822,9.73822
MOTU_3_LS_afrei_L778,6.14484,6.14484,6.14484,6.14484,9.38004,0.0,0.0,0.0,0.0,11.52548,11.52548,11.52548,8.82748,8.82748,8.82748,6.51938,6.51938,7.28759,7.28759,7.28759,7.47916,7.28759,7.28759,7.28759,7.28759,7.28759,9.02472,9.02472,9.02472,9.02472,9.02472,9.91244,9.91244,9.91244,9.91244,9.91244,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,12.16063,12.16063,12.16063,7.67147,7.67147,7.67147,7.85279,8.03459,8.03459,7.84154,7.67147,7.67147,7.86452,7.67147,7.67147,7.67147,7.67147,7.67147,7.67147,7.67147,9.20881,9.40722,9.40722,9.40722,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.81433,8.81433,8.81433,8.81433,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,9.25205,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,9.73822,9.73822,9.73822,9.73822,9.73822
MOTU_3_LS_afrei_L779,6.14484,6.14484,6.14484,6.14484,9.38004,0.0,0.0,0.0,0.0,11.52548,11.52548,11.52548,8.82748,8.82748,8.82748,6.51938,6.51938,7.28759,7.28759,7.28759,7.47916,7.28759,7.28759,7.28759,7.28759,7.28759,9.02472,9.02472,9.02472,9.02472,9.02472,9.91244,9.91244,9.91244,9.91244,9.91244,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,10.16402,12.16063,12.16063,12.16063,7.67147,7.67147,7.67147,7.85279,8.03459,8.03459,7.84154,7.67147,7.67147,7.86452,7.67147,7.67147,7.67147,7.67147,7.67147,7.67147,7.67147,9.20881,9.40722,9.40722,9.40722,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.81433,8.81433,8.81433,8.81433,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,8.63101,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,0.67115,9.25205,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,6.53821,9.73822,9.73822,9.73822,9.73822,9.73822
MOTU_4_LS_aftri_L179,11.76279,11.76279,11.76279,11.76279,8.05832,11.52548,11.52548,11.52548,11.52548,0.0,0.0,0.0,15.09205,15.09205,15.09205,11.5566,11.5566,12.54379,12.54379,12.54379,12.75299,12.54379,12.54379,12.54379,12.54379,12.54379,15.09205,15.09205,15.09205,15.09205,15.09205,8.97349,8.97349,8.97349,8.97349,8.97349,7.08649,7.08649,7.08649,7.08649,7.08649,7.08649,7.08649,7.08649,7.08649,14.59583,14.59583,14.59583,14.02694,14.02694,14.02694,14.22246,14.41852,14.41852,14.203,14.02694,14.02694,13.81235,14.02694,14.02694,14.02694,14.02694,14.02694,14.02694,14.02694,14.85236,14.63497,14.63497,14.63497,14.00741,14.00741,14.00741,14.00741,14.00741,14.00741,14.203,14.203,14.203,14.203,14.00741,14.00741,14.00741,14.00741,14.00741,14.00741,14.00741,14.00741,14.00741,11.52548,11.52548,11.52548,11.52548,11.52548,11.52548,11.52548,11.52548,11.52548,14.87323,12.56071,12.56071,12.56071,12.56071,12.56071,12.56071,12.56071,12.56071,12.56071,12.56071,12.56071,12.56071,12.56071,6.33176,6.33176,6.33176,6.33176,6.33176
